# Wind-bubble interior temperature profile (model 4e3_sfe001_n5e2_PL0)
# Column 1: radius r [pc]
# Column 2: log10(T [K])
0.05399456626 6.80962293
0.06214338444 6.786400885
0.07110610735 6.763038383
0.08076173968 6.739713085
0.09104371741 6.716367601
0.1018041558 6.693067075
0.1129348484 6.669737601
0.1242641153 6.646410365
0.1356374782 6.623066445
0.1468764177 6.599743298
0.1578457339 6.576414149
0.168410822 6.55309007
0.1784676326 6.52976669
0.1879396374 6.506433356
0.1967640444 6.483108074
0.2049104382 6.459788823
0.2123734296 6.436459184
0.2191494297 6.413152465
0.2213263475 6.405136172
0.2252759596 6.389807569
0.2307673109 6.36648499
0.2321212364 6.360307063
0.2356622892 6.343190312
0.2400169905 6.319858851
0.2429152656 6.302578958
0.2438675173 6.296533418
0.2472581403 6.273227141
0.2502388841 6.249904563
0.2528526111 6.22655875
0.2537106094 6.21815647
0.2551305552 6.203280343
0.2571208782 6.17996676
0.2588550194 6.156640604
0.2603603404 6.133351108
0.2616708012 6.109992942
0.2628020243 6.086732973
0.2637822193 6.063461183
0.2645082266 6.043751856
0.2646323468 6.040124974
0.2653669296 6.016782941
0.2659993053 5.993504603
0.2665464503 5.970151349
0.267015238 5.946936967
0.2674211469 5.923600373
0.2677699887 5.900292365
0.2680672806 5.877210981
0.2683227652 5.854168237
0.2685459118 5.830749876
0.2687371012 5.807370949
0.2689010843 5.784010637
0.2690381002 5.761323255
0.2691571585 5.738449906
0.2692627711 5.714838453
0.269350626 5.691977057
0.2694251916 5.66947197
0.2694909001 5.646452005
0.2695477833 5.623257174
0.2695958688 5.600439728
0.269639546 5.576235538
0.2696744625 5.553644104
0.269704996 5.530674146
0.2697311538 5.50779377
0.2697529424 5.485719517
0.269770367 5.465460864
0.2697877859 5.442153087
0.2698008464 5.422053439
0.2698139038 5.398980507
0.269822607 5.381458465
0.2698313088 5.361705829
0.2698400091 5.339114878
0.2698487081 5.312865301
0.269853057 5.298006903
0.2698574057 5.281724438
0.2698617539 5.263742165
0.2698661018 5.243694423
0.2698704494 5.221081904
0.2698747966 5.195196811
0.2698791434 5.164994728
0.26988349 5.128860035
0.2698878361 5.084078236
0.2698965309 4.943640094
0.2698974842 4.920311397
0.2698983341 4.89698585
0.2698990897 4.87367409
0.269899761 4.850352362
0.2699003619 4.827027815
0.2699009042 4.803707557
0.2699013965 4.780389507
0.2699018463 4.757058939
0.2699022586 4.733742197
0.2699026384 4.710412145
0.2699029882 4.687099784
0.2699033115 4.663774091
0.2699036113 4.640434867
0.2699038894 4.617144025
0.2699041488 4.593805627
0.2699043904 4.57049164
0.2699046163 4.547184853
0.2699048288 4.523832549
0.2699052173 4.477121255
